分类,书名,作者,简介
政治,可能性的艺术,刘瑜,"「内容简介」
一个和平“爆发”的年代？
历史“终结论”的终结？
国家能力从何而来？
文明的冲突是一个过时的预言？
……
面对林林总总的政治问题，作者带领我们以一种比较的视角，在民主问责和国家能力两个政治比较的核心维度下，建立起观察的参照系，将不同体制、不同经济发展水平的国家纳入比较的视野，去分析我们的时代背景和全球化进程，讨论不同国家的政治转型与国家能力，以及文化和经济对政治变迁的影响。
“政治是可能性的艺术。”当我们将面对的政治现实当作一万种可能性之一来对待时，就能从此时此地抽离，获得一种俯瞰的视角，进而再聚焦定位现实，在浩瀚的可能性中理解我们自身。
「名人推荐」
比较政治学当中的“比较”，与其说是一种具体的研究方法，不如说是一种研究的视野。当你把你所面对的政治现实当作一万种可能性之一来对待时，你就获得了一种“比较的视野”。
比较的视野本质上是一种...
(展开全部)
比较的视野本质上是一种俯瞰的视野，从“此时此地”抽离，来到多样性的“上空”，从宏观开始领略，然后慢慢聚焦到微观，也就是从森林开始，慢慢聚焦到树木。这样做的好处，就是不管你在分析多么具体的问题，在你脑海的深处，始终有一种比例感，有一片隐隐约约的森林，它提醒着你，你所见到的只是现象，而现象未必是真相。
可能我思考得越多，就越相信，智慧的本质就是对事物比例的公正判断。
——刘瑜
以比较的视野辨析相似与差异，从妙趣横生的事例引向缜密的逻辑推论，澄清认知的盲点和误区，在娓娓道来的叙述中抵达高深的学理分析，最终揭示政治世界的种种奥秘。刘瑜的写作天赋与学术训练功力都已为人所知，在这本书中，二者达到了几近完美的融合，为我们呈现出真正深入浅出的典范。
——刘擎
什么叫“可能性的艺术”？在这个年代活在世界上任何一个地方，可能都要面对一个问题：整套影响我们生活、塑造我们日常社会行为的政治制度，还有什么可能吗？
人类历史上所有政治制度的出现、形成、演变的空间何在？很多时候要透过比较才看得到，而由刘瑜老师来讲述，则是再精彩不过了。
——梁文道
「编辑推荐」
★ 学者刘瑜比较政治学新著。继《民主的细节》《观念的水位》出版近10年后，政治学者刘瑜新作出版。在保留其理性而灵动的语言风格、清晰而缜密的逻辑叙述的基础上，这一次，她带我们跳出一时一地的政治，从高处看国际格局，形成广阔的俯瞰视野。
★ 全方位、多角度的政治比较视野。围绕比较政治学两个核心维度——政治转型和国家能力，将不同国家、地区、古今纳入其中，带来全方位的比较。同时，书中不仅有对发达国家如美国、英国、德国、法国等的分析，也有对发展中国家如南非、印度、墨西哥、泰国、智利、伊拉克等的介绍；在分析经济发展、民主转型的成功案例时，也会剖析失败案例，以此突破认识的偏见，将当下问题纳入历史长河，以历史为尺度，形成看问题的比例感，跳出现象，对问题做出公正的判断。
★ 政治在社会中，从政治之外看政治。“政治在社会结构中”“政治在经济中”“政治在历史中”“政治在地理中”“政治在文化中”。本书通过分析南非的转型、智利经济政策的选择、美国的社会运动以及韩国的观念变迁等，带我们认识政治创造可能性的各种途径，理解社会与政治发展的制衡关系、政治选择与政治行动的可能。
★ 将抽象复杂的政治问题化为通俗的讲述。本书基于作者在看理想平台的音频节目而成，保留了作者通俗的讲述风格，同时辅以深厚的学术功底、优秀的写作能力以及对现实的敏锐分析，将抽象复杂的政治问题以易懂的方式讲给我们听。
★ 对多变的政治现象进行比较、思考，形成社会洞察力。比较产生冲击，冲击带来思考。政治的多变与不确定性让我们对它的思考很难有一劳永逸的答案，但也正是这种不确定性促使我们不断重返基本的道德问题和历史经验，将熟悉的事物陌生化，将“此时时刻”和无数的“他时他刻”联系起来，以此形成明晰的社会洞察力。
★ 于差异中寻找规律，在浩瀚的可能性中理解我们自身。政治是复杂的，但不是随机的。本书通过建立一个政治可能性的参照系，将每个国家编织在同一网络下，以此理解他国，也照见自身，于差异中寻找规律，进而定位现实，理解我们自身。
刘瑜 ，哥伦比亚大学政治学博士，清华大学政治学系副教授。研究领域包括比较民主化、新兴民主国家、美国政治等，讲授课程包括比较政治学、比较民主转型、美国政治等。著有《民主的细节》《观念的水位》《送你一颗子弹》等。"
政治,当代中国政府与政治 (第二版),景跃进、陈明明、肖滨、谈火生、于晓虹,"由景跃进、陈明明和肖滨三位教授联合主编的《当代中国政府与政治》一书，致力于从经验层面分析当代中国政府与政治的组织原理、基本结构、主要特征、运行机制及历史发展。本书从理解当代中国政府与政治的关键——中国共产党领导的政治体制及中国共产党入手，在横向维度上分别阐述作为最高权力机关和立法机关的人民代表大会、作为统一战线重要内容的多党合作和政治协商制度、作为最高国家行政机关的中央人民政府，旨在实现“自我监督”的纪检监察系统、实现“党管干部”的组织系统、实现“精英吸纳”的统战系统，以及作为“笔杆子”的宣传系统、作为“刀把子”的政法系统和作为“枪杆子”的军事系统；在纵向维度上分析中央与地方关系、民族区域自治制度及基层治理三大议题；最后，从群众与公民的角度探讨当代中国国家与社会关系的变迁和发展。
本书是一部由清华大学、复旦大学、中山大学、中国人民大学、中央民族大学、...
(展开全部)
本书是一部由清华大学、复旦大学、中山大学、中国人民大学、中央民族大学、中国政法大学、华中师范大学、华东政法大学等8所高校的11位学者组成的作者团队倾力打造的精品力作。全书具有两个方面的鲜明特色：第一，将中国共产党作为理解中国政府与政治的钥匙，将“党政体制”作为理解中国政府与政治的关键词，认为只有深刻把握宪法与党章、法律与党规、国家机构与党的组织、正式制度与政治惯例之间的互补关系，才能更好地认识和理解中国政府与政治；第二，强调历史脉络对于理解中国政府与政治的重要性，并主张应以内生演化的眼光来看待中国政府与政治的变化和发展。
与第一版相比，本书第二版进行了大幅的修订和更新，旨在系统反映近年来中国政治所发生的重大变化，以帮助读者更好地认识和理解新时代的中国政治。具体而言，本书第二版强化了党政体制的“系统”维度，增加了纪检监察系统、组织系统和统战系统三章，重写或大幅改写了宣传系统、军事系统、群众与公民等多章，将原有的中央与地方关系、地方政府两章合并为中央与地方关系一章，其余章节也尽可能地进行了数据或材料更新、结构完善等方面的修订工作。
修订内容
第一，为适应党政关系的新变化，强化党政体制的“系统”维度。第二版增设了纪检监察系统、组织系统和统战系统，它们与第一版中的宣传系统、政法系统和军事系统一起，构成了党政体制的六大系统。组织和统战工作是中国共产党履行其政治使命的必备工作，也是常规性工作（中国共产党设有组织部和统战部），增补这两大系统的必要性和合理性自不待言。需要说明的是纪检监察系统——为什么不设置独立一章讲国家监察委，而将其归入纪检监察系统？这一安排主要基于以下考量：中央纪委和国家监察委虽然是两个不同性质的机构——前者是党内最高纪律检查机关，后者是具有宪法地位的国家最高监察机关，但它们合署办公，国家监察委主任同时也是中央纪委的副书记；检索两个机构的官方网站，也可以发现中央纪委和国家监察委共用一个网站。这一制度体现了党的十八大以来的基本趋势——在加强党的全面领导的原则下，统筹安排党的机构与国家/政府机构。在这种情况下，将党的纪检与国家监察整合起来，放在纪检监察系统中加以考察，既有助于我们认识中国政治的特点，也有利于我们理解中国的反腐败事业。
第二，根据现实政治的变化，做出与时俱进的相应修改。除新增章节外，全书各章均有不同程度的修改。其中有的章节因为现实变化之大而几乎全部改写，如军事系统一章；有的章节因政策走势的变化而重点修改，如民族区域自治制度一章；其他章节则与时俱进，或更新相关的数据和材料，或完善章节的内部结构，尽可能以理性的方式全面反映第一版以来中国政治所发生的重要变化。
第三，因写作思路变化而做出的调整。本次教材修订是作者对中国政治的认识不断深化的过程，这不仅反映在相关章节的内容中，也体现在章节标题的修改上。如第一版中的“社会与公民”一章在第二版中调整为“群众与公民”。将“群众”带进来，是因为在中国政治中，除了国家/政府与公民关系之外，还有一组重要的政治关系，即政党与（人民）群众的关系。我们所熟知的“群众路线”便是在这一关系的脉络中生成的。在讨论中国的国家与社会关系时，“将群众带进来”也意味着“将政党带进来”，唯其如此，关于中国国家与社会关系的分析才可能是完整而全面的。
第四，部分章节的合并。在增加章节的同时，第二版也做了一点“减法”，删除了“地方政府”一章，将相关内容融于“中央与地方关系”一章之中。
经过增补、修改、调整和合并，本教材由第一版的13章发展为15章，篇幅增加。对于教材修订而言，上述变化不可谓小。尽管有上述调整和变化，但教材的写作初心保持不变：实事求是，按照中国政治的本来面貌讲述中国政治。我们深信，讲好中国故事的前提是讲清中国故事——这是中国社会科学创新研究和自主知识生产的逻辑起点。“客观认识中国政治现象，理性把握我们生活的世界”，是当初编撰这本教材的出发点，也是本次修订工作恪守的基本原则。
景跃进，本书主编，前言、导论撰稿人。清华大学社会科学学院政治学系教授；曾在杭州大学（现浙江大学）、中国人民大学任教，并曾担任中国人民大学公共管理硕士（MPA）“政治学”课程首席教授。主要研究领域为政治科学理论与方法、中国政治、比较政治学等。著（编）有《当代中国农村“两委关系”的微观解析与宏观透视》《政治空间的转换：制度变迁与技术操作》《理解中国政治：关键词的方法》《政治学原理》《当代中国政府与政治》等专著和教材。2004年获得北京市优秀教师称号。
陈明明，本书主编，第1、2章撰稿人。复旦大学国际关系与公共事务学院政治学系教授。主要研究领域为政治学理论、当代中国政府与政治、比较政党制度、当代中国政治史等。著（编）有《当代中国政治参与》《在革命与现代化之间：关于党治国家的一个观察与讨论》《马克思主义政府原理的中国逻辑》《比较政治制度》《当代中国政府与政治...
陈明明，本书主编，第1、2章撰稿人。复旦大学国际关系与公共事务学院政治学系教授。主要研究领域为政治学理论、当代中国政府与政治、比较政党制度、当代中国政治史等。著（编）有《当代中国政治参与》《在革命与现代化之间：关于党治国家的一个观察与讨论》《马克思主义政府原理的中国逻辑》《比较政治制度》《当代中国政府与政治》等专著和教材。多次获得上海市哲学社会科学优秀成果奖。
肖   滨，本书主编，第15章撰稿人。中山大学政治与公共事务管理学院政治科学系教授，中山大学社会科学学部主任；教育部“长江学者”特聘教授，国务院学位委员会第八届公共管理学科评议组成员。主要研究领域为当代政治理论、中国政府与政治、地方治理等。著（编）有《理解中国治理的广东样本：广东经验的理论分析》《现代政治中的公民身份》《政治学导论》《当代中国政府与政治》等专著和教材。2018年作为项目成果第一完成人获得国家级教学成果奖。
谈火生，本书副主编，第3、4、9章撰稿人。清华大学社会科学学院政治学系长聘副教授，清华大学社会科学学院治理技术研究中心主任。主要研究领域为政治思想史、协商民主理论、中国政治等。
于晓虹，本书副主编，第6、10章撰稿人。清华大学社会科学学院政治学系副主任、长聘副教授。主要研究领域为中国政府与政治、比较司法政治、法律实证研究、司法大数据等。
刘   鹏，第5章撰稿人。中国人民大学公共管理学院行政管理学系教授。
李月军，第7、11章撰稿人。华东政法大学政府管理学院政治学系教授。
尹   钛，第8章撰稿人。中国政法大学政治与公共管理学院政治学系副教授。
黄冬娅，第12章撰稿人。中山大学政治与公共事务管理学院政治科学系教授。
关   凯，第13章撰稿人。中央民族大学社会学与民族学学院民族学系教授。
袁方成，第14章撰稿人。华中师范大学政治与国际关系学院政治学系教授。"
政治,小镇喧嚣,吴毅,"基层迎检、开发纷争、征收税费、产业调整、征地“种房”、维权争利……“喧嚣”一词，释尽乡镇日常政治种种人事与结构交织碰撞的众声嘈杂。本书以后现代叙事策略，围绕基层政权、村级组织和农民在复杂的乡村权力场域中博弈共生的过程和状况，深度阐释了21世纪初中国中部地区某乡镇“乡域政治”的运作实践与支配逻辑。
本书出版十年来，获得学术界内外的广泛好评，被权威专家和普通读者誉为数十年来少见的以“抵近现场”“深度描写”的方式、以“比小说还精彩”的叙述来“复杂化理解”中国基层社会的作品。重读此书，不难发现，虽然它研究的是十多年前的乡镇，但是，对于“故事”背后种种复杂因素的颇有见地的理论探讨，让它在今天仍然极具启示。
吴毅，重庆市人，1958 年生，法学博士，华中科技大学社会学院二级教授，华中科技大学“华中学者”特聘教授，出版过《村治变迁中的权威与秩序—— 20 世纪川东双村的表达》 《小镇喧嚣—— 一个乡镇政治运作的演绎与阐释》 《记述村庄的政治》等著作，曾获全国优秀博士学位论文奖及中国高等学校人文社会科学优秀成果二、三等奖。"
政治,中国历代政治得失,钱穆,"史学大家钱穆经典常销名著。
十万字讲透两千年中国政治制度因革演变与利害得失。
新增北大国发院院长姚洋，人大、华东师大等高校历史系教授联袂撰写之导读手册。
本书为作者的专题演讲合集，分别就中国汉、唐、宋、明、清五代的政治组织、百官职权、考试监察、财经赋税、兵役义务等种种政治制度作了提要钩玄的概观与比照，叙述因革演变，指陈利害得失。既高屋建瓴的总括了中国历史与政治的精要大义，又点名了近现代国人对传统文化和精神的种种误解。言简 意赅，语重心长，实不失为一部简明的中国政治制度史
钱穆(1895-1990)，江苏无锡人，字宾四，中国现代著名历史学家、思想家、教育家，与吕思勉、陈垣、陈寅恪并称为“史学四大家”。历任北京大学、北平师范大学、西南联大、齐鲁大学、华西大学、四川大学、云南大学教授。钱穆著述颇丰，专著多达80种以上。代表作有《先秦诸子系年》《中国近三百年学术史》《国史大纲》《中国文化史导论》《文化学大义》《中国历代政治得失》《中国历史精神》《中国思想史》《宋明理学概述》《中国学术通义》等。"
政治,美国政治中的偏执狂风格,(美) 理查德·霍夫施塔特,"本书是著名历史学家理查德·霍夫施塔特研究美国历史的杰作，堪称《美国生活中的反智主义》的姊妹篇。
他以美国右翼为例，剖析了一种他称之为“偏执狂风格”的政治思想与修辞——代表绝对恶的敌对势力正在实施惊天阴谋，意欲摧毁绝对的善，自己一方在这场二元对决中扮演着真理的化身，万不可妥协，因为失败意味着末日来临。受迫害感是偏执狂风格的核心，其代言人常具有阴谋家心态，并试图用末世论的语言来描述阴谋论的最终结果。人们都受困于历史，但偏执狂人士不仅受到现实世界的折磨，还被他的幻想所折磨。
但本书所谓的“偏执狂风格”，既不限于右派，也不限于美国，而是适用于各国的各种政治派系。作者研究的虽然是美国的历史，论旨却照亮了今天的现实。政治不仅为利益所左右，也深受人们对它的感知和理解的方式的影响。
虽然写于上世纪60年代，但对于理解美国政治传统中的非理性一面和当下日趋极化的政治，本...
(展开全部)
虽然写于上世纪60年代，但对于理解美国政治传统中的非理性一面和当下日趋极化的政治，本书依然具有启示意义。
————
刘擎
霍夫施塔特对政治偏执的诊断，一如他对反智主义的剖析，对于当今时代不仅没有过时，而且显示出更为迫切的相关性。这些半个多世纪前写下的文字，以其独特的视野与洞察力，依然激发着当代学术与公共思想的辩论。
刘苏里
文集上部属论战性质，下部为历史评论，中心议题却是一个：剖析美国人的心灵。作者较早注意到美国人心灵中的“反智主义”倾向，其大多数文字皆与此有关，也因之成就了他的声望。作者持左翼立场，但开题、论述、辩难，仍不失史家的客观。作者发明过多组概念，并为后人发挥性继承，比如本书中的“利益政治”和“地位政治”，后者便是今天“身份政治”的前身。
刘瑜
本书写于上世纪60年代，主题是美国历史上的右翼民粹主义，但如果把其中一些关键词抹去，它几乎就像是在分析当代美国。这大约就是经典的穿透力。霍夫施塔特以一个历史学家的使命感提醒我们：“想象的敌人”会引发真实的冲突，而这一点岂止适用于美国右翼，也适用于各国的各种政治派系。
钱满素
本书所谓“偏执狂风格”，既不限于右派，也不限于美国，作者意在提醒人们，在坚持政治原则和目标时如何保持理性与尺度。
王希
霍夫施塔特是20世纪美国最具历史洞见的知识分子，他在60年前写下的对美国右翼政治的观察与剖析，仍然是帮助我们读懂当下美国政治乱象的经典指南。中译本信达雅兼具，生动再现了霍氏的写作风格。
许知远
霍夫施塔特正是我心中理想历史学家的模样，透过今日之困惑与忧虑审视昨日，又将昨日之希望与躁动带到眼前。
理查德·霍夫施塔特（1916—1970）
出生于纽约布法罗市，哥伦比亚大学美国史教授，美国著名历史学家，20世纪中期美国最著名的公共知识分子之一，1956年、1964年两次获得普利策奖非虚构作品奖。主要研究美国政治史和思想史。主要作品有《美国政治传统及其缔造者》（1948）、《改革年代》（1955）、《美国生活中的反智主义》 （1963）及《美国政治中的偏执狂风格》（1964）等。
陶小路
社科译者，自由撰稿人，曾任《东方历史评论》编辑。译著有《事实改变之后》《日瓦戈的孩子》。"
政治,制裁与经济战,翟东升、嵇先白、魏子龙,"如何应对不断升级的制裁与经济战，是中国当下对外经济政策中的紧迫议题。本书是一部为中国应对严峻挑战、回归世界舞台中心提供智力支持的作品。
自管仲时代以来，把经济上的不对称依赖当作武器，就是治国之道的重要内容。在现当代，国际斗争中的制裁与经济战案例更是层出不穷。本书展示了古今中外若干经典案例，利用跨学科方法，着力构建中国范式的制裁与经济战理论，为中国在世界舞台上的发展和安全提供理论支持和策略指导。本书能够大大提升读者对这一领域的认知水平，对关心中国和世界未来的读者具有重要参考价值。
翟东升，中国人民大学区域国别研究院院长、国际关系学院副院长、国际政治经济学教授。主要研究领域包括中国对外经济关系、美国政治经济、欧洲政治经济、战略思想史、货币金融的政治经济学、帝国的政治经济学、区域国别学理论与方法等，创有民本主义政治经济学理论。自1999年以来，发表学术论文数十篇、评论文章两百篇，出版专著三部，提出了若干原创性学术思想以及大量宏观政治经济趋势判断，其中一部分得到了实证检验。
嵇先白，中国人民大学国际关系学院副教授、南亚东南亚研究所所长、政策研究室高级研究员，新加坡南洋理工大学拉惹勒南国际研究院国际政治经济学博士。主要研究领域为地缘经济学、地区主义、亚太国际关系、东南亚研究。
魏子龙，中国人民大学国际关系学院博士研究生，主要研究领域为国际政治经济学、欧洲研究。"
政治,李光耀观天下,李光耀,"★  李光耀是亚洲的传奇人物，因为他极强的领导能力和治国才能而倍受尊敬。——潘基文
★  李光耀对亚洲动态及经济管理的意见及见解，深受世上人尊重。——奥巴马
★  《李光耀观天下》对世界广泛的课题做了独特和坦率的分析，将半个世纪以来其他领袖向李光耀请教的精辟见解展现于前。——基辛格
李光耀绝笔，每个想认识他的人都应该买一本。
这本书绝不是枯燥的地缘政治论述，也不是全球事务迂回曲折发展的专题报告。
李光耀一生密切地参与国际事务。在本书中，他凭借其丰富经验和深刻洞察力，对今天世界的形势和20年后世界可能展现的面貌提出看法。相反，在横跨美国、中国、亚洲和欧洲的广博叙述中，他剖析了它们的社会、探究其人民的心理，并提出了有关这些国家未来的结论。
李光耀在书中表达的坦率且往往令人惊讶的观点，使本书成为一本新鲜生动又引人入胜的读物；也探讨了他长久以来最关切的新加坡...
(展开全部)
李光耀在书中表达的坦率且往往令人惊讶的观点，使本书成为一本新鲜生动又引人入胜的读物；也探讨了他长久以来最关切的新加坡的未来，并让读者一窥他的私人生活和他对死亡的观点。每章中还穿插了他接受《海峡时报》访谈的问答录，有助于读者进一步理解他的观点。
李光耀，曾任新加坡总理（开国元首）、新加坡最高领导人。李光耀为新加坡的独立及崛起做出卓越贡献，被誉为“新加坡国父”。他不仅是现今新加坡政坛极具影响力的人物，也是亚洲乃至世界著名的政治家之一。
2015年3月23日因病医治无效去世，享年91岁。"
政治,伊朗,[英]迈克尔•阿克斯沃西,"伊朗（波斯）是世界上最重要的文明之一，也是全球为数不多仍保持着自身文明独特性的国家。时至今日，作为具有广泛区域影响力的伊斯兰大国，伊朗以其丰富的能源储备深度融入全球经济。即便如此，伊朗看起来却一直与西方世界格格不入。为什么伊朗政府公然表示不愿适应西方意识形态？伊朗何时、何故转为什叶派国家？哪些因素诱发了1979年的伊斯兰革命？伊朗的核计划真是为了拥有核武器吗？哈梅内伊是否是独裁者？究竟是谁在掌管这个国家？一系列与伊朗相关的疑问呼之欲出。要解答这些疑问，必须深入了解伊朗历史。
本书通过问答的方式，逐一解释了与伊朗密切相关的那些重要问题的历史根源与演变过程。叙述时间从公元前4000年纵贯至21世纪初期，提取关键事件与节点，剖析影响与后果。本书一改通常从西方和外交视角落笔的历史写法，立足伊朗本国文明发展历程，着眼伊朗国内文化、经济、政治、人民的真实面貌，为...
(展开全部)
本书通过问答的方式，逐一解释了与伊朗密切相关的那些重要问题的历史根源与演变过程。叙述时间从公元前4000年纵贯至21世纪初期，提取关键事件与节点，剖析影响与后果。本书一改通常从西方和外交视角落笔的历史写法，立足伊朗本国文明发展历程，着眼伊朗国内文化、经济、政治、人民的真实面貌，为世人迅速了解当代伊朗何以如此、何以至此、将何去何从，提供了新的、更丰满的解答。
迈克尔•阿克斯沃西（Michael Axworthy），英国学者、作家、评论员。1998—2000年，担任英国外交和联邦事务部伊朗事务处负责人。2001年，成为杜伦大学中东和伊斯兰研究部门的研究员。2005年，任教于埃克塞特大学。其著作有《波斯之剑》《伊朗简史》《革命的伊朗》等。"
政治,政治学通识,包刚升,"本书是作者在复旦大学政治学课程讲义的基础上修改润色而成的。本书力求成为一部通俗易懂、深入浅出的政治学普及入门读物。这部书正是为那些对政治和公共事务感兴趣的读者朋友们而写的。通过本书，作者希望能够帮助读者加深对中国政治与世界政治的认知，帮助读者理解政治学领域的重大议题、主要理论与基本方法，帮助读者养成健全与系统的政治思考能力。
包刚升，浙江海宁人，执教于复旦大学国际关系与公共事务学院，2012年获北京大学博士学位，曾赴伦敦政治经济学院（LSE）从事访问研究，其学术专著《民主崩溃的政治学》获评“《新京报》2014年年度社科书”及“《纽约时报》2014年19本中文好书”。"
政治,转型中的地方政府,周黎安,"中国在过去30年取得了经济增长的奇迹，其中，有些学者从政府的角度来解析经济发展之谜，尤其是关注于地方政府在发展中充当的角色以及地方政府与中央政府的博弈过程。然而当我们把目光转向发展中国家和转型国家时，不难发现许多国家的政府表现并不令人满意。为什么中国的地方政府有这么高的激励去推动地方经济的发展？中国是如何解决地方官员激励与政府作为问题的？但是，中国的高速经济增长也导致了一系列社会问题，如粗放型增长、收入分配不公、地区差异、环境污染、官员腐败、地方保护主义等等，这些问题如何与官员激励和政府治理模式联系在一起呢？本书从地方官员激励与政府治理视角出发，揭示了中国经济高速增长所依赖的政经条件和制度基础，提供了一种关于中国经济增长的政治经济学解释。
周黎安，美国斯坦福大学经济学博士，北京大学光华管理学院应用经济系主任，教授，博士生导师。主要研究领域为政治经济学、产业组织、经济转型与发展等。"
科学,你的脚比头年轻,[英] 科林·斯图尔特,"百页精致篇幅，带你上天入地、时光旅行，
包罗从原子到宇宙的亿亿级时间尺度
从物理学视角，
带给你关于时间的十个“恍然小悟”
◎作品看点
★ 时间，宏大又微小，抽象又丰富
在宇宙的138亿岁面前，人生不过一瞬，而运动员依然会为领先0.01秒拼尽全力。但别小看0.01秒，它够铯原子钟震荡近亿次……在极长和极短的尺度中间，万物生息，文明兴衰，人类也得以不断思考、测量乃至改变时间。
★ 穿越剧行不通，但穿越行得通？
无论穿越向过去还是未来都有真实可行的办法——但也有一些限制。当然人人都在沿时间之箭向未来穿越，只是有些人可以穿得更快，这意味着在未来某个时候他们会比曾经的同龄人更年轻——哦对了，脚为什么比头年轻，又年轻多少？阅读本书，发现种种奇趣时间问题的科学答案，不受影视剧忽悠。
★ 拥有“文字魔法”的作者，让高深问题变轻松
是英国皇家天文学会会士，但讲的东西...
(展开全部)
是英国皇家天文学会会士，但讲的东西小朋友都懂。XX论、YY学，在作者笔下变化为比喻、吐槽、谐音梗，带给你大变活人的惊奇感。他甚至施展“魔法”（因为用物理学还不可能），让未来的自己穿越回了过去写书给现在的你！
◎内容简介
时间是什么？如何准确计量（或者所谓“准确”有意义吗）？时间旅行、时间停止是可能的吗？甚至时间存在吗？……本书调动多种现代物理知识，用十篇小文探讨了这些关于时间的奇妙又根本的问题，非常适合好奇时间但又缺少时间的你。
◎图书推荐
全是好玩的知识点，让你禁不住要和亲朋分享，震惊他们……读起来特别快乐的一本小书，坐一会儿就看完了。							——吉姆·阿尔-哈利利教授《欢迎来到物理学的世界》作者
这本可爱又精彩的小书，融合了历史、地质、化学、哲学当然更有物理，读来实在快乐。
——Abigail Beall, 《城市天文学之道》（The Art of Urban Astronomy）作者
科林·斯图尔特（Colin Stuart），天文学作家及演讲者，英国皇家天文学会会士。其20种成人及儿童科普著作行销全球，译为20多种语言。为《卫报》《新科学家》等刊及欧洲航天局等机构撰写科普文章200余篇。小行星15347号以他的名字命名。"
科学,智人之上,[以色列] 尤瓦尔·赫拉利,"在过去10万年里，我们智人积攒了巨大的力量。然而，持续不断的发明与征服也将我们推入了一场生存危机。全球生态濒临崩溃，虚假信息泛滥。我们正一头扎进可能毁灭我们自身的、由新型信息网络组成的人工智能时代。
人类如此智慧，为什么却总是倾向于自我毁灭？我们为什么走到了生态和技术自杀的边缘？当非人智能威胁到人类的生存时，人类如何做出明智的选择？
从口口相传的故事，到文字书写，再到人工智能，《智人之上》透过大历史的长镜头，讲述信息网络如何塑造了我们和我们的世界，邀请我们思考信息与真相、神话与官僚制度、智慧与权力之间的复杂关系，探讨不同的社会结构在试图构建信息网络时面临的关键困境。
如果我们拓宽视野，看看人类的信息网络在过去几千年如何发展，我们也许可以更了解今日与未来发生的事情。
尤瓦尔·赫拉利（Yuval Noah Harari）
历史学家、哲学家、全球畅销书作家，第十届文津图书奖得主。著有《人类简史》《未来简史》《今日简史》等现象级畅销书。他的著作已被翻译成65种语言，全球销售4500多万册。
赫拉利教授是牛津大学历史学博士，现任耶路撒冷希伯来大学历史系教授、剑桥大学存在风险研究中心特聘研究员。他与伊茨克·哈雅夫共同创立智慧之船（Sapienship）。
赫拉利教授关注的领域横跨历史学、人类学、生态学、基因学等，他从宏观角度切入的研究往往得到颇具新意而又耐人寻味的观点，引发全球广泛关注。"
科学,贝叶斯定理,[美] 汤姆·奇弗斯,"一个诞生于200多年前的数学定理，为什么能在漫长的时间里改变医学、法律、科研、人工智能等多个领域，并成为个人理性思考和决策的强大工具？
这正是贝叶斯定理的魅力所在。它不仅仅是一个数学公式，更是一种帮助我们在不确定性中寻找答案的思维方法。当体检报告出现异常指标时，它帮助你理性评估是否需要进一步检查；当需要对重要事实做出判断时，它教你如何权衡各种证据；在人工智能时代，它甚至是许多智能算法背后的核心原理。
本书以生动活泼的笔调，通过引人入胜的故事和案例，展示了这个源自18世纪长老会牧师托马斯·贝叶斯的研究如何产生深远影响。贝叶斯定理将帮助你学会区分相关性和因果关系，避免常见的认知偏差和决策陷阱，在纷繁复杂的信息中提取真正有价值的内容。即使没有任何数学基础，书中的真实案例分析和实践指南也能让你轻松掌握这套思维方法。
在信息爆炸的时代，拥有一个可靠的思维框架比...
(展开全部)
在信息爆炸的时代，拥有一个可靠的思维框架比任何时候都重要。让我们一起走进贝叶斯的世界，在这个充满不确定性的时代，找到属于自己的确定性，在复杂中保持清醒。
汤姆·奇弗斯（Tom Chivers）
著名科普作者、出版人，他擅长解释复杂理论在日常生活中的实际应用，因而成为了科学写作领域广受欢迎的作家之一。2018年、2020年两次获得皇家统计学会卓越奖；2021年荣获英国科学作家协会的年度科学记者奖。"
科学,科学革命的结构,托马斯·库恩,"这是20世纪学术史上极有影响的著作之一，是科学史与科学哲学研究者们不可不读的基本文献。它引发了一场认识论的大变革，成为科学哲学史上一道重要的分水岭。其影响不仅在于科学史、科学哲学、科学社会学等相关领域，而且延伸到社会学、文化人类学、文学史、艺术史、政治史、宗教史等人文和社会科学领域，甚至在社会公众领域也产生了深刻的影响。书中的关键概念如“范式转换”等如今已成为世界性的重要词汇。
本书自1962年面世以来就引起强烈反响，掀起了一股世界性的研究热潮，至今不衰。本版是芝加哥大学出版社为庆祝该书问世五十周年而作，新增加拿大哲学家伊恩·哈金（Ian?Hacking）教授所写的导读。青年翻译家张卜天教授精心翻译了新的中译本。
托马斯·库恩（Thomas S. Kuhn，1922－1996）
美国物理学家、科学哲学家、科学史家，被誉为“二战后具影响力的一位以英文写作的哲学家”（理查德·罗蒂语）。库恩于1949年获物理学博士，后执教于加州大学、麻省理工学院等，任麻省理工学院语言学哲学劳伦斯·洛克菲勒名誉教授。主要著作有《哥白尼革命：西方思想发展中的行星天文学》《必要的张力》《黑体理论和量子的不连续性》等。"
